affirment;affirmaient;affirmèrent;affirmassent;affirmeraient
affleurent;affleuraient;affleurèrent;affleurassent;affleureraient
affligent;affligeaient;affligèrent;affligeassent;affligeraient
afflouent;afflouaient;afflouèrent;afflouassent;affloueraient
affluent;affluaient;affluèrent;affluassent;afflueraient
affolent;affolaient;affolèrent;affolassent;affoleraient
affouagent;affouageaient;affouagèrent;affouageassent;affouageraient
affouillent;affouillaient;affouillèrent;affouillassent;affouilleraient
affouragent;affourageaient;affouragèrent;affourageassent;affourageraient
affourchent;affourchaient;affourchèrent;affourchassent;affourcheraient
affranchissent;affranchissaient;affranchirent;affranchiraient
affrètent;affrétaient;affrétèrent;affrétassent;affréteraient
affriandent;affriandaient;affriandèrent;affriandassent;affrianderaient
affriolent;affriolaient;affriolèrent;affriolassent;affrioleraient
affrontent;affrontaient;affrontèrent;affrontassent;affronteraient
affruitent;affruitaient;affruitèrent;affruitassent;affruiteraient
affublent;affublaient;affublèrent;affublassent;affubleraient
affûtent;affûtaient;affûtèrent;affûtassent;affûteraient
africanisent;africanisaient;africanisèrent;africanisassent;africaniseraient
agacent;agaçaient;agacèrent;agaçassent;agaceraient
agencent;agençaient;agencèrent;agençassent;agenceraient
agglomèrent;aggloméraient;agglomérèrent;agglomérassent;aggloméreraient
agglutinent;agglutinaient;agglutinèrent;agglutinassent;agglutineraient
aggravent;aggravaient;aggravèrent;aggravassent;aggraveraient
agiotent;agiotaient;agiotèrent;agiotassent;agioteraient
agissent;agissaient;agirent;agiraient
agitent;agitaient;agitèrent;agitassent;agiteraient
agnèlent;agnelaient;agnelassent;agnèleraient
agonissent;agonissaient;agonirent;agoniraient
agonisent;agonisaient;agonisèrent;agonisassent;agoniseraient
agrafent;agrafaient;agrafèrent;agrafassent;agraferaient
agrainent;agrainaient;agrainèrent;agrainassent;agraineraient
agrandissent;agrandissaient;agrandirent;agrandiraient
agréent;agréaient;agréèrent;agréassent;agréeraient
agrègent;agrégeaient;agrégèrent;agrégeassent;agrégeraient
agrémentent;agrémentaient;agrémentèrent;agrémentassent;agrémenteraient
agressent;agressaient;agressèrent;agressassent;agresseraient
agriffent;agriffaient;agriffèrent;agriffassent;agrifferaient
agrippent;agrippaient;agrippèrent;agrippassent;agripperaient
aguerrissent;aguerrissaient;aguerrirent;aguerriraient
aguichent;aguichaient;aguichèrent;aguichassent;aguicheraient
aguisent;aguisaient;aguisèrent;aguisassent;aguiseraient
ahanent;ahanaient;ahanèrent;ahanassent;ahaneraient
ahurissent;ahurissaient;ahurirent;ahuriraient
aident;aidaient;aidèrent;aidassent;aideraient
aigrissent;aigrissaient;aigrirent;aigriraient
aiguayent;aiguaient;aiguayaient;aiguayèrent;aiguayassent;aiguayeraient;aiguaieraient;
aiguillent;aiguillaient;aiguillèrent;aiguillassent;aiguilleraient
aiguillettent;aiguilletaient;aiguilletèrent;aiguilletassent;aiguilletteraient
aiguillonnent;aiguillonnaient;aiguillonnèrent;aiguillonnassent;aiguillonneraient
